activity_add_widget_instructions,com.airbnb.lottie.LottieAnimationView,animation
activity_broken_site,View,titleSection
activity_broken_site,ImageView,icon
activity_broken_site,TextView,title
activity_broken_site,TextView,description
activity_broken_site,TextView,brokenDomainLabel
activity_broken_site,EditText,brokenSiteUrl
activity_broken_site,EditText,feedbackMessage
activity_broken_site,Button,submitButton
activity_browser,androidx.constraintlayout.widget.ConstraintLayout,fragmentContainer
activity_browser,View,clearingInProgressView
activity_default_browser_info,View,titleSection
activity_default_browser_info,ImageView,smileyFace
activity_default_browser_info,TextView,title
activity_default_browser_info,TextView,description
activity_default_browser_info,ImageView,ctaDismissButton
activity_default_browser_info,ImageView,defaultBrowserIllustration
activity_default_browser_info,Button,launchSettingsButton
activity_feedback,FrameLayout,fragmentContainer
activity_launch,androidx.constraintlayout.widget.ConstraintLayout,rootView
activity_launch,ImageView,ddgLogo
activity_onboarding,androidx.viewpager.widget.ViewPager,viewPager
activity_user_survey,TextView,title
activity_user_survey,Button,dismissButton
activity_user_survey,WebView,webView
activity_user_survey,ProgressBar,progress
activity_user_survey,LinearLayout,errorView
add_or_edit_bookmark,com.google.android.material.textfield.TextInputLayout,bookmarkTitleInputContainer
add_or_edit_bookmark,com.google.android.material.textfield.TextInputLayout,bookmarkUrlInputContainer
add_or_edit_bookmark,EditText,titleInput
add_or_edit_bookmark,EditText,urlInput
content_about_duck_duck_go,ScrollView,longDescriptionContainer
content_about_duck_duck_go,ImageView,ddgLogo
content_about_duck_duck_go,TextView,learnMoreLink
content_bookmarks,androidx.recyclerview.widget.RecyclerView,recycler
content_bookmarks,TextView,emptyBookmarks
content_feedback,TextView,title
content_feedback,TextView,subtitle
content_feedback,ImageView,positiveFeedbackButton
content_feedback,ImageView,negativeFeedbackButton
content_feedback_negative_broken_site_feedback,ScrollView,rootScrollView
content_feedback_negative_broken_site_feedback,ImageView,emoticonImage
content_feedback_negative_broken_site_feedback,TextView,title
content_feedback_negative_broken_site_feedback,TextView,subtitle
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputLayout,brokenSiteInputContainer
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputLayout,openEndedFeedbackContainer
content_feedback_negative_broken_site_feedback,Button,submitFeedbackButton
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputEditText,brokenSiteInput
content_feedback_negative_broken_site_feedback,com.google.android.material.textfield.TextInputEditText,openEndedFeedback
content_feedback_negative_disambiguation_main_reason,ImageView,emoticonImage
content_feedback_negative_disambiguation_main_reason,TextView,title
content_feedback_negative_disambiguation_main_reason,TextView,subtitle
content_feedback_negative_disambiguation_main_reason,androidx.recyclerview.widget.RecyclerView,recyclerView
content_feedback_negative_disambiguation_sub_reason,ImageView,emoticonImage
content_feedback_negative_disambiguation_sub_reason,TextView,title
content_feedback_negative_disambiguation_sub_reason,TextView,subtitle
content_feedback_negative_disambiguation_sub_reason,androidx.recyclerview.widget.RecyclerView,recyclerView
content_feedback_open_ended_feedback,ScrollView,rootScrollView
content_feedback_open_ended_feedback,ImageView,emoticonImage
content_feedback_open_ended_feedback,TextView,title
content_feedback_open_ended_feedback,TextView,subtitle
content_feedback_open_ended_feedback,com.google.android.material.textfield.TextInputLayout,openEndedFeedbackContainer
content_feedback_open_ended_feedback,Button,submitFeedbackButton
content_feedback_open_ended_feedback,com.google.android.material.textfield.TextInputEditText,openEndedFeedback
content_feedback_positive_landing,ImageView,emoticonImage
content_feedback_positive_landing,TextView,title
content_feedback_positive_landing,TextView,subtitle
content_feedback_positive_landing,androidx.constraintlayout.widget.Guideline,guideline
content_feedback_positive_landing,Button,rateAppButton
content_feedback_positive_landing,Button,shareFeedbackButton
content_feedback_positive_landing,Button,cancelButton
content_onboarding_default_browser,androidx.constraintlayout.widget.ConstraintLayout,longDescriptionContainer
content_onboarding_default_browser,ImageView,defaultBrowserImage
content_onboarding_default_browser,LinearLayout,textContainer
content_onboarding_default_browser,Button,launchSettingsButton
content_onboarding_default_browser,Button,continueButton
content_onboarding_no_trace,androidx.constraintlayout.widget.ConstraintLayout,longDescriptionContainer
content_onboarding_no_trace,ImageView,noTraceImage
content_onboarding_no_trace,LinearLayout,textContainer
content_onboarding_no_trace,Button,continueButton
content_onboarding_protect_data,androidx.constraintlayout.widget.ConstraintLayout,longDescriptionContainer
content_onboarding_protect_data,ImageView,protectDataImage
content_onboarding_protect_data,LinearLayout,textContainer
content_onboarding_protect_data,Button,continueButton
content_privacy_dashboard,include,privacyGrade
content_privacy_dashboard,androidx.constraintlayout.widget.ConstraintLayout,review
content_privacy_dashboard,androidx.constraintlayout.widget.ConstraintLayout,privacyToggleContainer
content_privacy_dashboard,androidx.constraintlayout.widget.ConstraintLayout,trackerNetworkLeaderboard
content_privacy_dashboard,LinearLayout,httpsContainer
content_privacy_dashboard,LinearLayout,networksContainer
content_privacy_dashboard,LinearLayout,practicesContainer
content_privacy_dashboard,TextView,privacyToggleText
