activity_main,fragment,file_picker_fragment
conf_editor,TextView,message
conf_editor,Button,button_cancel
conf_editor,Button,button_save
conf_editor,EditText,editText
filepicker_item,LinearLayout,nnf_item_container
filepicker_item,ImageView,item_icon
filepicker_item,TextView,text1
filepicker_item,CheckBox,checkbox
nnf_activity_filepicker,FrameLayout,fragment
nnf_dialog_folder_name,EditText,edit_text
nnf_filepicker_listitem_checkable,LinearLayout,nnf_item_container
nnf_filepicker_listitem_checkable,ImageView,item_icon
nnf_filepicker_listitem_checkable,TextView,text1
nnf_filepicker_listitem_checkable,CheckBox,checkbox
nnf_filepicker_listitem_dir,LinearLayout,nnf_item_container
nnf_filepicker_listitem_dir,ImageView,item_icon
nnf_filepicker_listitem_dir,TextView,text1
nnf_fragment_filepicker,androidx.recyclerview.widget.RecyclerView,list
nnf_fragment_filepicker,FrameLayout,divider
player,view,player
player,LinearLayout,controls
player,TextView,statsTextView
player,TextView,gestureTextView
player,LinearLayout,top_controls
player,LinearLayout,controls_seekbar_group
player,LinearLayout,controls_button_group
player,ImageButton,orientationBtn
player,ImageButton,prevBtn
player,TextView,playbackPositionTxt
player,SeekBar,playbackSeekbar
player,TextView,playbackDurationTxt
player,ImageButton,nextBtn
player,ImageButton,playBtn
player,ImageButton,cycleAudioBtn
player,ImageButton,cycleSubsBtn
player,Button,cycleDecoderBtn
player,Button,cycleSpeedBtn
scaler_pref,TextView,message
scaler_pref,Spinner,scaler
scaler_pref,EditText,param1
scaler_pref,EditText,param2
scaler_pref,TextView,textView
scaler_pref,TextView,textView2
version_dialog,TextView,info
